workerCounter,assignmentId,workerId,hitId,age,gender,sexual orientation,race,community
1,debugIJTH5Z,debugURZBAF,debugIVM2SR,24,1,2,2,2
2,debugXRI15V,debugWZ100H,debugCP5QRD,22,1,2,2,2
3,debugHMW9LO,debugLK7MDR,debugUR5VB7,21,1,2,4,4 6
4,debugZTF4AI,debug97999S,debugPMFH95,37,2,2,2,2
5,debug9X9GZT,debugO83MFY,debugNVJ3H1,31,1,2,2,2 4 6
6,debugUC3EDL,debugHA1CLA,debugFJMYG8,33,2,2,2 4 6,2 6
7,debug1JZN7N,debugHB8JA2,debug1FRNFH,22,2,2,6,6
8,debugP2NS8V,debugAFSLN9,debugV11OE5,29,2,3,2,1 2 3 4 5 6 0
9,debugTG0AA1,debugMGHMKI,debugAD0CEK,23,2,2,2,2
10,debugWAOD1U,debugZB4WKT,debugAPRC85,23,2,2,2,2 3 4 6
